Drop Down,Drop Down.1,Drop Down.2,Drop Down.3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Drop Down.4,Drop Down.5,Unnamed: 10
CGT,8,API & DP Process Validation Batch Readiness,Analytical Development (AD),,Co-validations / method transfers completed with JSC or External Partner.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Analytical Development (AD),,"All DS and DP in-process, release/stability test methods approved for commercial use  (8A/8B).",,,,,
CGT,8,API & DP Process Validation Batch Readiness,Analytical Development (AD),,Device in-process and release/stability test methods approved for commercial use (8B). (as applicable),,,,,
CGT,8,API & DP Process Validation Batch Readiness,Analytical Development (AD),,Complete characterization studies. ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Analytical Development (AD),,Ph3 DS / DP product characterization & process impurity testing completed.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Analytical Development (AD),,DS & DP expiry extension completed (if required).,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Analytical Development (AD),,"Clinical Batch data reviewed, ProVal specification documents (including justification) approved for intermediate, drug substance and drug product.",,,,,
CGT,8,API & DP Process Validation Batch Readiness,Analytical Development (AD),,Sampling plan reviewed for DS/DP process validation characterization.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,API (Cell & Gene),,Additional process robustness studies report approved (if required).,,,,,
CGT,8,API & DP Process Validation Batch Readiness,API (Cell & Gene),,Process validation protocol(s) approved.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,API (Cell & Gene),,"Protocol approved for generation of EOEPCB, and Cell and Developability Sciences notified to enable ProVal genetic characterization testing - if applicable.  Initiate importation code generation for cell bank shipment into United States, if applicable for gene therapy.",,,,,
CGT,8,API & DP Process Validation Batch Readiness,API (Cell & Gene),,Small scale model data reviewed at Functional Level 1 governance (if applicable),,,,,
CGT,8,API & DP Process Validation Batch Readiness,API (Cell & Gene),,"Process control, pooling, hold-time, and characterization functional area review completed.",,,,,
CGT,8,API & DP Process Validation Batch Readiness,API (Cell & Gene),,"EHS Requirement: determine if OEL for DS is needed, Complete environmental fate and effect studies and complete environmental risk assessment, update API SDS, develop label for drug substance, REACH notification approved. ",,,,,
CGT,8,API & DP Process Validation Batch Readiness,API (Cell & Gene),,"Finalize Criticality Analysis (CQA, CPP's, CMA's and control strategy) for all applicable processes. ",,,,,
CGT,8,API & DP Process Validation Batch Readiness,API (Cell & Gene),,All PF2P activities completed for commercial process(es).,,,,,
CGT,8,API & DP Process Validation Batch Readiness,API (Cell & Gene),,"Document list (including process characterization reports, robustness study reports, process validation protocol and reports) compiled for process development section of BLA and PAI readiness.",,,,,
CGT,8,API & DP Process Validation Batch Readiness,Clinical Supply Chain (CSC),,Coordinate aggregated clinical/non-clinical demand in support of Ph3 mfg. and provide to the JSC organization .,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Clinical Supply Chain (CSC),,Alignment with Medical Affairs on potential demands,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Clinical Supply Chain (CSC),,"Support JSC in scenarios commercial sourcing strategic planning  (as required), strategic impact analysis (critical path, risk, budget variances). ",,,,,
CGT,8,API & DP Process Validation Batch Readiness,Clinical Supply Chain (CSC),,Overall CSC FTE and OOP budget compound and study level,,,,,
CGT,8,API & DP Process Validation Batch Readiness,CMC Leadership (CMC-L),,Review critical questions and mitigation plans. Identify new critical questions based on emerging data.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,CMC Leadership (CMC-L),,Stage 8A/8B CMC Team presentation review completed.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,CMC Leadership (CMC-L),,"Confirm Customer Value deliverables completed for this stage, if applicable",,,,,
CGT,8,API & DP Process Validation Batch Readiness,CMC Leadership (CMC-L),,CMC team review of the following draft Key Dossier Centric Reports if applicable (DS Process Validation Plan; DP Process Validation Plan; DS/DP updated Criticality Analysis; DS & DP Comparability Report(s); Pharmaceutical Development Report(s).,,,,,
CGT,8,API & DP Process Validation Batch Readiness,CMC Leadership (CMC-L),,Pediatric CMC assessment (assess potential for pediatric formulation development) completed.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,CMC Leadership (CMC-L),,Criticality Analysis updated as necessary.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,CMC Leadership (CMC-L),,Co-lead DPAT review/approval of all changes to clinical protocol that lead to a change to the IPPI/PM study.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,CMC Leadership (CMC-L),,Update CMC Risk Register.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,CMC Leadership (CMC-L),,Apply previous lessons learned to the ProVal Strategy if applicable.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,CMC Regulatory Affairs (RA),,"Support  the current MAA/BLA review process (BLA/MAA kick off meeting, extended team review, functional area review, and BLA/MAA endorsement) with other functions.",,,,,
CGT,8,API & DP Process Validation Batch Readiness,CMC Regulatory Affairs (RA),,"Confirm that the ProVal Strategy is ""current"", i.e.,  up-to-date with recent HA guidance/feedback and/or changes in Industry Standards.",,,,,
CGT,8,API & DP Process Validation Batch Readiness,CMC Regulatory Affairs (RA),,"Preparation for PPQ/stability ""small scale model"" review meetings and Scientific Advice",,,,,
CGT,8,API & DP Process Validation Batch Readiness,CMC Regulatory Affairs (RA),,Confirm validation strategy for CoC and CoI (autologous programs only),,,,,
CGT,8,API & DP Process Validation Batch Readiness,CMC Regulatory Affairs (RA),,"Risk register review e.g. Impurity clearance & assessment, characterization/analytical strategy, release/stability and overall control strategy, DPD strategies ",,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,"Design Control - Design Validation  (CPDP Deliverable)
",,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Design Control - Design Validation Protocol,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Design Control - Design Validation Protocol/Execution,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Design Control - Design Validation Report,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Design Control - Design Validation Summary Report,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Design Control - Software Validation Report (If Applicable),,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Device Risk Management  (Update) - Risk Management Plan (Update),,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Device Risk Management  (Update) - Product Risk Assessment/Hazard ID (Update),,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Device Risk Management  (Update) - uFMEA (Update),,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Device Risk Management  (Update) - CTQ Flow Down (Update) ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Device Risk Management  (Update) - Device Control Strategy (Review and Update) ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Device Risk Management  (Update) - dFMEA (Update),,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Device Risk Management  (Update) - pFMEA (Initiate),,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Device Risk Management  (Update) - Risk Management Report (Update),,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Complaint Handling Plan (Initiate),,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Design Output  (CPDP Deliverable) - DHF  (Update if required),,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Design Output  (CPDP Deliverable) - DMR  (Update if required),,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Post Market Safety Reporting including MARL (if applicable),,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Complete Request Intake Form for Product Quality Complaint New Product Introduction for Clinical as part of the general Product Quality Complaint Process,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Update Regulated Substances Plan (if required),,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Update General Performance and Safety (GSPR) Checklist,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Update of Regulated Substances Report and Supplier Regulated Substances Declarations (if required) ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Design Transfer: Traceability Matrix (Update),,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,As per CPDP Design & Process Validation Stage in DS-SOP-16238,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Update Design and Development Plan  ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Update Human Factors Plan,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Update Regulatory Plan,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Update of Regulated Substances Plan (if required),,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Update of Regulated Substances Report and Supplier Regulated Substances Declarations (if required) ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,"Complete Request Intake Form for Product Quality Complaint New Product Introduction for Commercial Products per TV-WI-33240 as part of the general Product Quality Complaint Process, outlined in TV-SOP-35428.",,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Final Design Verification and Summary Reports ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Human Factors Summary Report  ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,"Design Validation Protocols, Reports and Summary Report",,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Executed In-Use Reliability Testing Report ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Finalize Traceability Matrix ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Control Strategy,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Control Plan,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Update to Manufacturing and Design Transfer Plan and Report,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Process Validation Protocols and Reports ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Place Stability study units on aging,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Software Validation (if applicable),,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Primary Container (Package) – CCS Summary Report,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Secondary Package – Process Qualification (as needed) ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Distribution Testing Procedure – Approve Test Protocol & Distribution Test Results (as needed) ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Calculate Thermal Density of Temperature Shipping Systems (as needed) ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Qualification Report of Insulated Shipping Container for Temperature Sensitive Products (as needed)  ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Shipping Process Validation Report – Cold Chain (as needed),,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Final Labeling - approved IFU and device/packaging labels (as needed) ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,IFU - DDO Submission & HA Approval (as needed) ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Update General Safety and Performance Requirements (GSPR) Checklist (if required),,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Update Product Risk Assessment (PRA) ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Process-FMEA ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Risk Management Report ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Update DMR ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Update DHF ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Clinical Submission,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Regulatory Submission,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,"Post-Market Product Management Plan (if applicable) - Note: This could include planned design changes, enhancements, process changes, site transfers, etc. ",,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Commercialization readiness checklist,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Design Validation and Process Validation Stage Design Review ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Combination Products  Development Process (CPDP),,Stage Gate Approval Form,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Dossier Development Operations (DDO),,"Marketing Application dossier strategy and development timeline completed.  Review the current MAA/BLA review process (BLA/MAA kick off meeting, extended team review, functional area review, and BLA/MAA endorsement) with other functions.",,,,,
CGT,8,API & DP Process Validation Batch Readiness,Drug Product Development & Delivery (DPD&D),,"EHS Requirement: complete design for sustainability document, develop label for DP, update Drug Product SDS.",,,,,
CGT,8,API & DP Process Validation Batch Readiness,Drug Product Development & Delivery (DPD&D),,DP process development and robustness studies data reviewed at level 1 governance.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Drug Product Development & Delivery (DPD&D),,Review DP  formulation robustness DOE study (available data on range finding).,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Drug Product Development & Delivery (DPD&D),,DP process master plan & validation protocol approved (8B).,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Drug Product Development & Delivery (DPD&D),,"Finalize Criticality Analysis (CQA, CPP's, CMAs and control strategy).",,,,,
CGT,8,API & DP Process Validation Batch Readiness,Drug Product Development & Delivery (DPD&D),,"Characterization of excipients, heavy metals and silicones (process/product impurities) for clinical batches completed (if applicable - depends on primary container, administration delivery procedure & mfg. process)",,,,,
CGT,8,API & DP Process Validation Batch Readiness,Drug Product Development & Delivery (DPD&D),,All PF2P activities completed for commercial process.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Drug Product Development & Delivery (DPD&D),,Commercial Primary Component Specifications updated as needed. ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Drug Product Development & Delivery (DPD&D),,Commercial Container Closure System,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Drug Product Development & Delivery (DPD&D),,"Passive shipping systems qualified, if applicable.",,,,,
CGT,8,API & DP Process Validation Batch Readiness,Drug Product Development & Delivery (DPD&D),,JJ Packaging Design protocol (review and update if needed),,,,,
CGT,8,API & DP Process Validation Batch Readiness,Drug Product Development & Delivery (DPD&D),,"Complete or revisit Complexity Assessment Form with team.  Create or revise (if necessary) complexity assessment decision.  Create or revise uFMEA for commercial product, if needed.  Complete HF studies, if needed.",,,,,
CGT,8,API & DP Process Validation Batch Readiness,JSC Value Chain Management (VCLs),,DS and DP Process Validation Batch Records and SOP's approved.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,JSC Value Chain Management (VCLs),,"Commercial shipping routes identified for DS, DP & Finished Product (for DPD shipper validation).",,,,,
CGT,8,API & DP Process Validation Batch Readiness,JSC Value Chain Management (VCLs),,DS and DP commercial min & max batch sizes determined.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,JSC Value Chain Management (VCLs),,Commercial secondary packaging strategy initiated.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,JSC Value Chain Management (VCLs),,Commercial financial product flow system set-up.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,JSC Value Chain Management (VCLs),,Final equipment and process changes implemented (based on After Action Review from clinical production).,,,,,
CGT,8,API & DP Process Validation Batch Readiness,JSC Value Chain Management (VCLs),,Participate in After Action Review from Ph3 batches and document in risk register.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,JSC Value Chain Management (VCLs),,"Participate in Criticality Analysis (CQA, CPPs, CMA's, control strategy, CPV 3a plan/protocol).",,,,,
CGT,8,API & DP Process Validation Batch Readiness,JSC Value Chain Management (VCLs),,"Functional area review of DS and DP process control, pooling, hold-time, and characterization.",,,,,
CGT,8,API & DP Process Validation Batch Readiness,JSC Value Chain Management (VCLs),,"Review DS and DP documents, including process robustness study report, small-scale model dev report, process validation protocol, genetic stability validation protocol, small scale model data functional and tech review, CQA and CPP report/memos, process validation strategy.",,,,,
CGT,8,API & DP Process Validation Batch Readiness,JSC Value Chain Management (VCLs),,Distribution Assessment team created after sourcing decision (is this applicable given sourcing dec. in SG 5?) ,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Material Sciences (MS),,"Complete selection, qualification and release testing specifications/methods gap mitigations for raw materials for DS and DP for PPQ manufacture.",,,,,
CGT,8,API & DP Process Validation Batch Readiness,Material Sciences (MS),,All polymeric risk scoring initiated and completed by end of PPQ. Initiate  Extractables study if required.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Material Sciences (MS),,"Complete protocols/documentation supporting inclusion of raw materials variation and characterization in DS and DP Process Validation Strategy (media, buffers, resins, chemicals, excipients and polymeric product contact materials).",,,,,
CGT,8,API & DP Process Validation Batch Readiness,Product Quality Management (PQM),,Complete initial process FMEA (combo product requirement),,,,,
CGT,8,API & DP Process Validation Batch Readiness,Product Quality Management (PQM),,"Review PRM Plan/Report, update if additional risk management activities are completed/known",,,,,
CGT,8,API & DP Process Validation Batch Readiness,Product Quality Management (PQM),,"Review PRA, update if additional risk management activities are completed/known",,,,,
CGT,8,API & DP Process Validation Batch Readiness,Product Quality Management (PQM),,Post Market Safety Reporting including MARL (if applicable),,,,,
CGT,8,API & DP Process Validation Batch Readiness,Product Quality Management (PQM),,Approve Criticality Analysis.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Program Management (PMO),,Support CMC TL and CMC team to meet all deliverables through planning coordination.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Program Management (PMO),,"Support risk management activities: includes risk identification, mitigation, monitor & control; risk register utilization.",,,,,
CGT,8,API & DP Process Validation Batch Readiness,Program Management (PMO),,Facilitate After Action Review and PF2P sessions.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Program Management (PMO),,"Project plan updated and reviewed with CMC Team: prioritize, track team milestones & deliverables, proactive management of KEM aligned to CMC SG’s.",,,,,
CGT,8,API & DP Process Validation Batch Readiness,Program Management (PMO),,Project FTE and OOP demand estimates completed and updated in Planning System.,,,,,
CGT,8,API & DP Process Validation Batch Readiness,Program Management (PMO),,"Developed scenarios in support of strategic planning (as required), strategic impact analysis (critical path, risk, budget variances).",,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Analytical Development (AD),,"Complete in vivo studies, if applicable - Team to comment if N/A",,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Analytical Development (AD),,"Primary and Working reference standard characterization completed and COA issued, if applicable.",,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Analytical Development (AD),,CTD (Common Technical Document) (ECTD template for BLA in RimDocs) draft analytical sections started.,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Analytical Development (AD),,"DS intermediate, DS (9A) and DP (9B) comprehensive analytical data review by functional area completed including stability data. ",,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Analytical Development (AD),,Continue preparation of S.3.1 Elucidation of Structure.,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Analytical Development (AD),,Product characterization studies (degradation pathways etc.) and report completed.,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Analytical Development (AD),,"ProVal characterization samples (upstream, downstream & DP) data provided to study director.",,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Analytical Development (AD),,Analytical pre-BLA meeting content & management review completed (if applicable).,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Analytical Development (AD),,"Draft and obtain AD endorsement of initial commercial specifications for intermediate, DS, DP (9C). Final proposal will come following availability of 3-6 mo stability data on Proval batches (evaluate deliverable for accelerated programs).  ",,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Analytical Development (AD),,Maintain sample archive/permanent retention program for all Clinical and ProVal batches.,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,API (Cell & Gene),,Process validation data & small-scale model module(s) validation review by Level 1 governance completed.,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,API (Cell & Gene),,Update criticality analysis and control strategy review for all applicable processes,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,API (Cell & Gene),,EOPCB generation executed; genetic characterization completed by Cell and Developability Sciences and reports approved (if applicable for gene therapy),,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,API (Cell & Gene),,CTD draft sections started for all applicable processes.,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,API (Cell & Gene),,Development history & other CTD source documents completed for all applicable processes.,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,API (Cell & Gene),,Internal pre-BLA meeting CMC content & management review completed (if applicable).,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,API (Cell & Gene),,"EHS Requirement: REACH registration approved, develop IH sampling and method if appropriate. ",,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,API (Cell & Gene),,Continued Process verification (CPV) strategy drafted and review completed,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,API (Cell & Gene),,Draft / Approve CPP / Criticality reports for all applicable processes,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Clinical Supply Chain (CSC),,Coordinate aggregated clinical/non-clinical demand in support of Ph3 mfg. and provide to the JSC organization,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Clinical Supply Chain (CSC),,Alignment with Medical Affairs on potential demands,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Clinical Supply Chain (CSC),,Overall CSC FTE and OOP budget compound and study level,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,CMC Leadership (CMC-L),,Preliminary Life Cycle management plans identified.,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,CMC Leadership (CMC-L),,All Critical Questions answered. ,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,CMC Leadership (CMC-L),,Stage 9A/9B/9C Council presentation review completed.,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,CMC Leadership (CMC-L),,"Ensure Customer Value deliverables are completed for this stage, as applicable.",,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,CMC Leadership (CMC-L),,Update Criticality Analysis(if applicable).,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,CMC Leadership (CMC-L),,Ensure CMC team review of the following draft Key Dossier Centric Reports: DS & DP specification and JOS; DS & DP Criticality Reports.,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,CMC Leadership (CMC-L),,Update CMC Risk Register.,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,CMC Leadership (CMC-L),,EHS Requirement: Update DP SDS to align with approved IFU/product label; Marketing Application preparation.,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,CMC Regulatory Affairs (RA),,Support Marketing Application development in progress (including Post Approvals Comparability Protocols),,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,CMC Regulatory Affairs (RA),,Pre-Submission meeting package submitted to HA's/meetings completed (if applicable).,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,CMC Regulatory Affairs (RA),,Confirm Global commercial device strategy ,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,CMC Regulatory Affairs (RA),,"Reviewing BLA enabling studies e.g. CPV, PVMPs, MVPR, specs, stability plans, shipping plans etc. ",,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Combination Products  Development Process (CPDP),,Update Design and Development Plan  As per CPDP Design & Process Validation Stage in DS-SOP-16238,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Combination Products  Development Process (CPDP),,Update Human Factors Plan As per CPDP Design & Process Validation Stage in DS-SOP-16238,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Combination Products  Development Process (CPDP),,Update Regulatory Plan As per CPDP Design & Process Validation Stage in DS-SOP-16238,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Combination Products  Development Process (CPDP),,Update of Regulated Substances Plan (if required) As per CPDP Design & Process Validation Stage in DS-SOP-16238,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Combination Products  Development Process (CPDP),,Update of Regulated Substances Report and Supplier Regulated Substances Declarations (if required) As per CPDP Design & Process Validation Stage in DS-SOP-16238,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Combination Products  Development Process (CPDP),,"Complete Request Intake Form for Product Quality Complaint New Product Introduction for Commercial Products per TV-WI-33240 as part of the general Product Quality Complaint Process, outlined in TV-SOP-35428. As per CPDP Design & Process Validation Stage in DS-SOP-16238",,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Combination Products  Development Process (CPDP),,Final Design Verification and Summary Reports. As per CPDP Design & Process Validation Stage in DS-SOP-16238 ,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Combination Products  Development Process (CPDP),,Human Factors Summary Report  As per CPDP Design & Process Validation Stage in DS-SOP-16238,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Combination Products  Development Process (CPDP),,"Design Validation Protocols, Reports and Summary Report As per CPDP Design & Process Validation Stage in DS-SOP-16238",,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Combination Products  Development Process (CPDP),,Executed In-Use Reliability Testing Report As per CPDP Design & Process Validation Stage in DS-SOP-16238,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Combination Products  Development Process (CPDP),,Finalize Traceability Matrix As per CPDP Design & Process Validation Stage in DS-SOP-16238,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Combination Products  Development Process (CPDP),,Control Strategy As per CPDP Design & Process Validation Stage in DS-SOP-16238,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Combination Products  Development Process (CPDP),,Control Plan As per CPDP Design & Process Validation Stage in DS-SOP-16238,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Combination Products  Development Process (CPDP),,Update to Manufacturing and Design Transfer Plan and Report As per CPDP Design & Process Validation Stage in DS-SOP-16238,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Combination Products  Development Process (CPDP),,Process Validation Protocols and Reports As per CPDP Design & Process Validation Stage in DS-SOP-16238,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Combination Products  Development Process (CPDP),,Place Stability study units on aging As per CPDP Design & Process Validation Stage in DS-SOP-16238,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Combination Products  Development Process (CPDP),,Software Validation (if applicable) As per CPDP Design & Process Validation Stage in DS-SOP-16238,,,,,
CGT,9,API & DP Process Validation Review & Establishing Specification,Combination Products  Development Process (CPDP),,Primary Container (Package) – CCS Summery Report As per CPDP Design & Process Validation Stage in DS-SOP-16238,,,,,
